dir	html	js	css	cjs	data	fetch	shared	puml
databases/Teil01 Grundlagen/database/BWL/Auswahl & Bewertung/Leasing/finanzierungs_sortiermaschine	1	1	0	0	2	1	0	databases/Teil01 Grundlagen/database/BWL/Auswahl & Bewertung/Leasing/finanzierungs_sortiermaschine/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil01 Grundlagen/database/BWL/Auswahl & Bewertung/Leasing/leasing_gutachter	1	1	0	1	2	1	0	databases/Teil01 Grundlagen/database/BWL/Auswahl & Bewertung/Leasing/leasing_gutachter/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil01 Grundlagen/database/BWL/Auswahl & Bewertung/Leasing/leasing_kalkulator_challenge	1	1	0	1	2	1	0	databases/Teil01 Grundlagen/database/BWL/Auswahl & Bewertung/Leasing/leasing_kalkulator_challenge/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil01 Grundlagen/database/BWL/Auswahl & Bewertung/Leasing/risk_finder_das_kleingedruckte	1	1	0	1	2	1	0	databases/Teil01 Grundlagen/database/BWL/Auswahl & Bewertung/Leasing/risk_finder_das_kleingedruckte/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil01 Grundlagen/database/BWL/Auswahl & Bewertung/Leasing/startup_cashflow_survival	1	1	1	0	2	1	1	databases/Teil01 Grundlagen/database/BWL/Auswahl & Bewertung/Leasing/startup_cashflow_survival/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil01 Grundlagen/database/BWL/Auswahl & Bewertung/Nutzwertanalyse/der_matrix_architekt	1	1	1	0	2	1	1	databases/Teil01 Grundlagen/database/BWL/Auswahl & Bewertung/Nutzwertanalyse/der_matrix_architekt/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil01 Grundlagen/database/BWL/Auswahl & Bewertung/Nutzwertanalyse/entscheidungs_detektiv	1	1	1	0	2	1	1	databases/Teil01 Grundlagen/database/BWL/Auswahl & Bewertung/Nutzwertanalyse/entscheidungs_detektiv/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil01 Grundlagen/database/BWL/Auswahl & Bewertung/Nutzwertanalyse/fehler_suche_der_korrupte_analyst	1	1	1	0	2	1	1	databases/Teil01 Grundlagen/database/BWL/Auswahl & Bewertung/Nutzwertanalyse/fehler_suche_der_korrupte_analyst/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil01 Grundlagen/database/BWL/Auswahl & Bewertung/Nutzwertanalyse/kunden_wunsch_rechner	1	1	1	0	2	1	1	databases/Teil01 Grundlagen/database/BWL/Auswahl & Bewertung/Nutzwertanalyse/kunden_wunsch_rechner/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil01 Grundlagen/database/BWL/Auswahl & Bewertung/Nutzwertanalyse/wg_zimmer_challenge	1	1	1	0	2	1	1	databases/Teil01 Grundlagen/database/BWL/Auswahl & Bewertung/Nutzwertanalyse/wg_zimmer_challenge/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil01 Grundlagen/database/BWL/Kommunikation & Schulung/4-Ohren-Modell/4ohren_deeskalation	1	1	1	0	2	1	1	databases/Teil01 Grundlagen/database/BWL/Kommunikation & Schulung/4-Ohren-Modell/4ohren_deeskalation/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil01 Grundlagen/database/BWL/Kommunikation & Schulung/4-Ohren-Modell/missverstaendnis_match	1	1	1	0	2	1	1	databases/Teil01 Grundlagen/database/BWL/Kommunikation & Schulung/4-Ohren-Modell/missverstaendnis_match/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil01 Grundlagen/database/BWL/Kommunikation & Schulung/4-Ohren-Modell/nachricht_scanner_welches_ohr_hort_mit	1	1	1	0	2	1	1	databases/Teil01 Grundlagen/database/BWL/Kommunikation & Schulung/4-Ohren-Modell/nachricht_scanner_welches_ohr_hort_mit/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil01 Grundlagen/database/BWL/Kommunikation & Schulung/4-Ohren-Modell/sender_empfaenger_bruecke	1	1	1	0	2	1	1	databases/Teil01 Grundlagen/database/BWL/Kommunikation & Schulung/4-Ohren-Modell/sender_empfaenger_bruecke/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil01 Grundlagen/database/BWL/Kommunikation & Schulung/4-Ohren-Modell/vier_ohren_detektiv	1	1	1	0	2	1	0	databases/Teil01 Grundlagen/database/BWL/Kommunikation & Schulung/4-Ohren-Modell/vier_ohren_detektiv/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil01 Grundlagen/database/BWL/Projektmanagement & Organisation/Change Management/change_kurve	1	1	1	1	2	1	1	databases/Teil01 Grundlagen/database/BWL/Projektmanagement & Organisation/Change Management/change_kurve/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil01 Grundlagen/database/BWL/Projektmanagement & Organisation/Change Management/kommunikations_koffer	1	1	0	1	2	1	0	databases/Teil01 Grundlagen/database/BWL/Projektmanagement & Organisation/Change Management/kommunikations_koffer/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil01 Grundlagen/database/BWL/Projektmanagement & Organisation/Change Management/kultur_gaertner	1	1	0	0	2	1	1	databases/Teil01 Grundlagen/database/BWL/Projektmanagement & Organisation/Change Management/kultur_gaertner/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil01 Grundlagen/database/BWL/Projektmanagement & Organisation/Change Management/kurve_der_veraenderung	1	1	0	0	2	1	1	databases/Teil01 Grundlagen/database/BWL/Projektmanagement & Organisation/Change Management/kurve_der_veraenderung/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil01 Grundlagen/database/BWL/Projektmanagement & Organisation/Change Management/promoter_suche	1	1	0	0	2	1	1	databases/Teil01 Grundlagen/database/BWL/Projektmanagement & Organisation/Change Management/promoter_suche/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil01 Grundlagen/database/BWL/Projektmanagement & Organisation/Change Management/widerstands_radar	1	1	1	1	3	1	1	databases/Teil01 Grundlagen/database/BWL/Projektmanagement & Organisation/Change Management/widerstands_radar/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil01 Grundlagen/database/BWL/Projektmanagement & Organisation/Fremdvergabe/fremdvergabe_lieferanten_check	1	1	1	1	2	1	1	databases/Teil01 Grundlagen/database/BWL/Projektmanagement & Organisation/Fremdvergabe/fremdvergabe_lieferanten_check/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil01 Grundlagen/database/BWL/Projektmanagement & Organisation/Fremdvergabe/fremdvergabe_outsourcing_vertrag	1	1	1	0	2	1	1	databases/Teil01 Grundlagen/database/BWL/Projektmanagement & Organisation/Fremdvergabe/fremdvergabe_outsourcing_vertrag/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil01 Grundlagen/database/BWL/Projektmanagement & Organisation/Fremdvergabe/fremdvergabe_risiko_waage	1	1	1	0	2	1	1	databases/Teil01 Grundlagen/database/BWL/Projektmanagement & Organisation/Fremdvergabe/fremdvergabe_risiko_waage/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil01 Grundlagen/database/BWL/Projektmanagement & Organisation/Fremdvergabe/fremdvergabe_werkbank	1	1	1	1	2	1	1	databases/Teil01 Grundlagen/database/BWL/Projektmanagement & Organisation/Fremdvergabe/fremdvergabe_werkbank/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil01 Grundlagen/database/BWL/Projektmanagement & Organisation/Fremdvergabe/make_or_buy_calculator	1	1	0	0	2	1	1	databases/Teil01 Grundlagen/database/BWL/Projektmanagement & Organisation/Fremdvergabe/make_or_buy_calculator/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Anforderungsanalyse/anforderungs_sortierer	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Anforderungsanalyse/anforderungs_sortierer/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Anforderungsanalyse/konflikt_loeser	1	1	0	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Anforderungsanalyse/konflikt_loeser/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Anforderungsanalyse/lastenheft_check	1	1	0	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Anforderungsanalyse/lastenheft_check/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Anforderungsanalyse/priorisierungs_pyramide	1	1	0	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Anforderungsanalyse/priorisierungs_pyramide/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Anforderungsanalyse/stakeholder_interviewer	1	1	0	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Anforderungsanalyse/stakeholder_interviewer/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Angebot, Abnahme, Übergabe/Abnahme-Übergabeprozess (Abnahmeprotokoll, Übergabepaket)	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Angebot, Abnahme, Übergabe/Abnahme-Übergabeprozess (Abnahmeprotokoll, Übergabepaket)/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Angebot, Abnahme, Übergabe/Angebot auf Basis Leistungsbeschreibung/angebots_checkliste	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Angebot, Abnahme, Übergabe/Angebot auf Basis Leistungsbeschreibung/angebots_checkliste/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Angebot, Abnahme, Übergabe/Angebot auf Basis Leistungsbeschreibung/angebots_rechner	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Angebot, Abnahme, Übergabe/Angebot auf Basis Leistungsbeschreibung/angebots_rechner/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Bewertung/Kundenfeedback strukturiert aufnehmen und Maßnahmen ableiten	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Bewertung/Kundenfeedback strukturiert aufnehmen und Maßnahmen ableiten/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Bewertung/Skalierbarkeit bewerten	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Bewertung/Skalierbarkeit bewerten/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Bewertung/Verlässlichkeit-Robustheit bewerten	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Bewertung/Verlässlichkeit-Robustheit bewerten/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Change Management/change_curve	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Change Management/change_curve/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Change Management/change_erfolgs_check	1	1	0	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Change Management/change_erfolgs_check/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Change Management/drei_phasen_modell	1	1	0	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Change Management/drei_phasen_modell/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Change Management/kommunikations_kaskade	1	1	0	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Change Management/kommunikations_kaskade/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Change Management/widerstands_baendiger	1	1	0	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Change Management/widerstands_baendiger/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Dokumentation/doku_zielgruppen_match	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Dokumentation/doku_zielgruppen_match/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Dokumentation/readme_check	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Dokumentation/readme_check/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Fremdvergabe	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Fremdvergabe/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Lösungsfindung & Entscheidung/Lösungsvarianten entwickeln und nach Kriterien vergleichen	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Lösungsfindung & Entscheidung/Lösungsvarianten entwickeln und nach Kriterien vergleichen/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Machbarkeitsanalyse [Ab hier abwärts neue Strategie angewandt]	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Machbarkeitsanalyse [Ab hier abwärts neue Strategie angewandt]/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Projektmanagement _	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Projektmanagement _/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Protokoll anfertigen _/eskalations_protokoll	1	1	1	0	2	1	0	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Protokoll anfertigen _/eskalations_protokoll/__dokumentation/__02_plans/__use_case_diagram.puml
