dir	html	js	css	cjs	data	fetch	shared	puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Protokoll anfertigen _/inhalts_check	1	1	1	0	2	1	0	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Protokoll anfertigen _/inhalts_check/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Protokoll anfertigen _/protokoll_arten_sortierer	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Protokoll anfertigen _/protokoll_arten_sortierer/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Protokoll anfertigen _/verteiler_puzzle	1	1	1	1	2	1	0	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Protokoll anfertigen _/verteiler_puzzle/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Protokoll anfertigen _/vom_gespraech_zum_punkt	1	1	1	0	2	1	0	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Protokoll anfertigen _/vom_gespraech_zum_punkt/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Prozessanalyse _/aktivitaeten_sortierer	1	1	1	0	2	1	0	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Prozessanalyse _/aktivitaeten_sortierer/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Prozessanalyse _/durchlaufzeit_rechner	1	1	1	0	2	1	0	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Prozessanalyse _/durchlaufzeit_rechner/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Prozessanalyse _/ist_zustand_detektiv	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Prozessanalyse _/ist_zustand_detektiv/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Prozessanalyse _/prozess_schnittstellen	1	1	1	0	2	1	0	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Prozessanalyse _/prozess_schnittstellen/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Prozessanalyse _/rollen_zuweiser	1	1	1	0	2	1	0	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Prozessanalyse _/rollen_zuweiser/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Stakeholder/interessen_profiler	1	1	0	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Stakeholder/interessen_profiler/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Stakeholder/interview_simulator	1	1	0	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Stakeholder/interview_simulator/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Stakeholder/konflikt_navi	1	1	0	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Stakeholder/konflikt_navi/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Stakeholder/promotoren_opponenten_netz	1	1	0	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Stakeholder/promotoren_opponenten_netz/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Stakeholder/stakeholder_mapping	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Stakeholder/stakeholder_mapping/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Ticketsystem/priorisierungs_butler	1	1	1	0	2	1	0	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Ticketsystem/priorisierungs_butler/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Ticketsystem/sla_timer_kampf	1	1	1	0	2	1	0	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Ticketsystem/sla_timer_kampf/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Ticketsystem/ticket_schreiber_profi	1	1	1	0	2	1	0	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Ticketsystem/ticket_schreiber_profi/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Ticketsystem/ticket_status_labyrinth	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Ticketsystem/ticket_status_labyrinth/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Ticketsystem/zuweisungs_meister	1	1	1	0	2	1	0	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Ticketsystem/zuweisungs_meister/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Umfeldanalyse	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Umfeldanalyse/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/User-Stories	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/User-Stories/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Workshop _/moderations_master	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Workshop _/moderations_master/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Workshop _/workshop_agenda_puzzle	1	1	1	1	2	1	0	databases/Teil02 FIAE/database/Anforderungen, Analyse, Projekt & Prozess/Workshop _/workshop_agenda_puzzle/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Architektur & Patterns/Architektur-„Schubladen“ für AP2/Dependency Injection (Grundidee: warum hilft das beim Testen?)	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Architektur & Patterns/Architektur-„Schubladen“ für AP2/Dependency Injection (Grundidee: warum hilft das beim Testen?)/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Architektur & Patterns/Architektur-„Schubladen“ für AP2/MVC-MVVM (Grundidee, wann sinnvoll)	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Architektur & Patterns/Architektur-„Schubladen“ für AP2/MVC-MVVM (Grundidee, wann sinnvoll)/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Architektur & Patterns/Design Patterns	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Architektur & Patterns/Design Patterns/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Architektur & Patterns/Observer (Pattern)	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Architektur & Patterns/Observer (Pattern)/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Architektur & Patterns/Patterns (konkreter als „Design Patterns“)/Adapter	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Architektur & Patterns/Patterns (konkreter als „Design Patterns“)/Adapter/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Architektur & Patterns/Patterns (konkreter als „Design Patterns“)/Decorator	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Architektur & Patterns/Patterns (konkreter als „Design Patterns“)/Decorator/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Architektur & Patterns/Patterns (konkreter als „Design Patterns“)/Factory	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Architektur & Patterns/Patterns (konkreter als „Design Patterns“)/Factory/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Architektur & Patterns/Patterns (konkreter als „Design Patterns“)/Repository	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Architektur & Patterns/Patterns (konkreter als „Design Patterns“)/Repository/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Architektur & Patterns/Patterns (konkreter als „Design Patterns“)/Singleton	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Architektur & Patterns/Patterns (konkreter als „Design Patterns“)/Singleton/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Architektur & Patterns/Patterns (konkreter als „Design Patterns“)/Strategy	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Architektur & Patterns/Patterns (konkreter als „Design Patterns“)/Strategy/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Architektur & Patterns/Schichtenarchitektur	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Architektur & Patterns/Schichtenarchitektur/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/Anomalien	1	1	1	0	3	1	1	databases/Teil02 FIAE/database/Datenbanken & SQL/Anomalien/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/CREATE TABLE	1	1	1	0	3	1	1	databases/Teil02 FIAE/database/Datenbanken & SQL/CREATE TABLE/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/Datenimport	1	1	1	0	3	1	1	databases/Teil02 FIAE/database/Datenbanken & SQL/Datenimport/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/Datenqualität	1	1	1	0	3	1	1	databases/Teil02 FIAE/database/Datenbanken & SQL/Datenqualität/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/Datentypen	1	1	1	0	3	1	1	databases/Teil02 FIAE/database/Datenbanken & SQL/Datentypen/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/DELETE	1	1	1	0	3	1	1	databases/Teil02 FIAE/database/Datenbanken & SQL/DELETE/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/Dokumentenorientierte Datenbank	1	1	1	1	3	1	0	databases/Teil02 FIAE/database/Datenbanken & SQL/Dokumentenorientierte Datenbank/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/GRANT	1	1	1	0	3	1	1	databases/Teil02 FIAE/database/Datenbanken & SQL/GRANT/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/Index	1	1	1	0	3	1	1	databases/Teil02 FIAE/database/Datenbanken & SQL/Index/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/INSERT	1	1	1	0	3	1	1	databases/Teil02 FIAE/database/Datenbanken & SQL/INSERT/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/Redundanz	1	1	1	0	3	1	1	databases/Teil02 FIAE/database/Datenbanken & SQL/Redundanz/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/REVOKE	1	1	1	0	3	1	1	databases/Teil02 FIAE/database/Datenbanken & SQL/REVOKE/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/SELECT	1	1	1	0	3	1	1	databases/Teil02 FIAE/database/Datenbanken & SQL/SELECT/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/SQL (allgemein)	1	1	1	0	3	1	1	databases/Teil02 FIAE/database/Datenbanken & SQL/SQL (allgemein)/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/SQL-Abfragen (über Basics hinaus)/JOINs (INNER-LEFT) praxisnah	1	1	1	1	2	1	0	databases/Teil02 FIAE/database/Datenbanken & SQL/SQL-Abfragen (über Basics hinaus)/JOINs (INNER-LEFT) praxisnah/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/Stored Procedures	1	1	1	0	3	1	1	databases/Teil02 FIAE/database/Datenbanken & SQL/Stored Procedures/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/Transaktionen	1	1	1	0	3	1	1	databases/Teil02 FIAE/database/Datenbanken & SQL/Transaktionen/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/Trigger	1	1	1	0	3	1	1	databases/Teil02 FIAE/database/Datenbanken & SQL/Trigger/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/UNION	1	1	1	0	3	1	1	databases/Teil02 FIAE/database/Datenbanken & SQL/UNION/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Datenbanken & SQL/UPDATE	1	1	1	0	3	1	1	databases/Teil02 FIAE/database/Datenbanken & SQL/UPDATE/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Modellierung & Diagramme/ERM (Entity-Relationship-Modell)	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Modellierung & Diagramme/ERM (Entity-Relationship-Modell)/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Modellierung & Diagramme/Relationales Datenmodell	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Modellierung & Diagramme/Relationales Datenmodell/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Modellierung & Diagramme/UML: Aktivitätsdiagramm	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Modellierung & Diagramme/UML: Aktivitätsdiagramm/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Modellierung & Diagramme/UML: Klassdiagramm	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Modellierung & Diagramme/UML: Klassdiagramm/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Modellierung & Diagramme/UML: Sequenzdiagramm	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Modellierung & Diagramme/UML: Sequenzdiagramm/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Modellierung & Diagramme/UML: Use-Case-Diagramm	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Modellierung & Diagramme/UML: Use-Case-Diagramm/__dokumentation/__02_plans/__use_case_diagram.puml
databases/Teil02 FIAE/database/Modellierung & Diagramme/UML: Zustandsdiagramm	1	1	1	0	2	1	1	databases/Teil02 FIAE/database/Modellierung & Diagramme/UML: Zustandsdiagramm/__dokumentation/__02_plans/__use_case_diagram.puml
